#
# Engine name: 
# Fri Jan 9 13:12:09 2026
#
# Lc= 227.48122 mm	 Rc=  95.82054 mm
# R1=  42.79911 mm	 R2= 229.72193 mm
# bc=  30.00000   	 Rt=  28.53274 mm
# Le= 177.87398 mm	 Re=  74.40579 mm
# Rn=  10.89951 mm
# c1=  21.83236   	 c2=   8.00000   
#
#--------------------------
#     x, mm	      r, mm
#--------------------------
    0.00000	   95.82054
    0.40536	   95.82054
    0.81071	   95.82054
    1.21607	   95.82054
    1.62142	   95.82054
    2.02678	   95.82054
    2.43213	   95.82054
    2.83749	   95.82054
    3.24284	   95.82054
    3.64820	   95.82054
    4.05355	   95.82054
    4.45891	   95.82054
    4.86426	   95.82054
    5.26962	   95.82054
    5.67497	   95.82054
    6.08033	   95.82054
    6.48568	   95.82054
    6.89104	   95.82054
    7.29639	   95.82054
    7.70175	   95.82054
    8.10710	   95.82054
    8.51246	   95.82054
    8.91781	   95.82054
    9.32317	   95.82054
    9.72852	   95.82054
   10.13388	   95.82054
   10.53924	   95.82054
   10.94459	   95.82054
   11.34995	   95.82054
   11.75530	   95.82054
   12.16066	   95.82054
   12.56601	   95.82054
   12.97137	   95.82054
   13.37672	   95.82054
   13.78208	   95.82054
   14.18743	   95.82054
   14.59279	   95.82054
   14.99814	   95.82054
   15.40350	   95.82054
   15.80885	   95.82054
   16.21421	   95.82054
   16.61956	   95.82054
   17.02492	   95.82054
   17.43027	   95.82054
   17.83563	   95.82054
   18.24098	   95.82054
   18.64634	   95.82054
   19.05169	   95.82054
   19.45705	   95.82054
   19.86240	   95.82054
   20.26776	   95.82054
   20.67312	   95.82054
   21.07847	   95.82054
   21.48383	   95.82054
   21.88918	   95.82054
   22.29454	   95.82054
   22.69989	   95.82054
   23.10525	   95.82054
   23.51060	   95.82054
   23.91596	   95.82054
   24.32131	   95.82054
   24.72667	   95.82054
   25.13202	   95.82054
   25.53738	   95.82054
   25.94273	   95.82054
   26.34809	   95.82054
   26.75344	   95.82054
   27.15880	   95.82054
   27.56415	   95.82054
   27.96951	   95.82054
   28.37486	   95.82054
   28.78022	   95.82054
   29.18557	   95.82054
   29.59093	   95.82054
   29.99628	   95.82054
   30.40164	   95.82054
   30.80699	   95.82054
   31.21235	   95.82054
   31.61771	   95.82054
   32.02306	   95.82054
   32.42842	   95.82054
   32.83377	   95.82054
   33.23913	   95.82054
   33.64448	   95.82054
   34.04984	   95.82054
   34.45519	   95.82054
   34.86055	   95.82054
   35.26590	   95.82054
   35.67126	   95.82054
   36.07661	   95.82054
   36.48197	   95.82054
   36.88732	   95.82054
   37.29268	   95.82054
   37.69803	   95.82054
   38.10339	   95.82046
   38.50874	   95.81977
   38.91410	   95.81836
   39.31945	   95.81624
   39.72481	   95.81340
   40.13016	   95.80985
   40.53552	   95.80558
   40.94087	   95.80059
   41.34623	   95.79489
   41.75159	   95.78848
   42.15694	   95.78135
   42.56230	   95.77350
   42.96765	   95.76494
   43.37301	   95.75566
   43.77836	   95.74566
   44.18372	   95.73495
   44.58907	   95.72353
   44.99443	   95.71139
   45.39978	   95.69853
   45.80514	   95.68495
   46.21049	   95.67066
   46.61585	   95.65565
   47.02120	   95.63993
   47.42656	   95.62348
   47.83191	   95.60633
   48.23727	   95.58845
   48.64262	   95.56985
   49.04798	   95.55054
   49.45333	   95.53051
   49.85869	   95.50977
   50.26404	   95.48830
   50.66940	   95.46612
   51.07475	   95.44321
   51.48011	   95.41959
   51.88547	   95.39525
   52.29082	   95.37019
   52.69618	   95.34441
   53.10153	   95.31792
   53.50689	   95.29070
   53.91224	   95.26276
   54.31760	   95.23410
   54.72295	   95.20472
   55.12831	   95.17462
   55.53366	   95.14379
   55.93902	   95.11225
   56.34437	   95.07998
   56.74973	   95.04700
   57.15508	   95.01328
   57.56044	   94.97885
   57.96579	   94.94369
   58.37115	   94.90781
   58.77650	   94.87121
   59.18186	   94.83388
   59.58721	   94.79583
   59.99257	   94.75705
   60.39792	   94.71755
   60.80328	   94.67732
   61.20863	   94.63636
   61.61399	   94.59468
   62.01935	   94.55227
   62.42470	   94.50914
   62.83006	   94.46527
   63.23541	   94.42068
   63.64077	   94.37536
   64.04612	   94.32931
   64.45148	   94.28253
   64.85683	   94.23503
   65.26219	   94.18679
   65.66754	   94.13782
   66.07290	   94.08812
   66.47825	   94.03769
   66.88361	   93.98652
   67.28896	   93.93463
   67.69432	   93.88200
   68.09967	   93.82863
   68.50503	   93.77453
   68.91038	   93.71970
   69.31574	   93.66413
   69.72109	   93.60783
   70.12645	   93.55079
   70.53180	   93.49301
   70.93716	   93.43450
   71.34251	   93.37525
   71.74787	   93.31525
   72.15322	   93.25452
   72.55858	   93.19305
   72.96394	   93.13084
   73.36929	   93.06789
   73.77465	   93.00420
   74.18000	   92.93976
   74.58536	   92.87459
   74.99071	   92.80866
   75.39607	   92.74200
   75.80142	   92.67459
   76.20678	   92.60643
